RID,source_nodeip,destination_nodeip,start_time,source_port,destination_port,flags,site,asn,num_packets,num_bytes,flow_trajectories_ip,proto,Label
10.42.0.211-119.146.74.34-59046-80-6,84.46.250.2,69.175.54.106,1415140945,32996,22,"-A----,-AP---",45c48,c4ca4,12,1008,222.186.13.25,TCP,1
10.42.0.211-69.147.82.61-41645-443-6,118.144.86.105,69.175.54.106,1415585016,32969,22,"-A----,-AP---",45c48,c4ca4,11,956,119.191.59.224,TCP,0
182.22.25.124-10.42.0.151-80-56017-6,61.147.103.88,69.175.54.106,1415146783,51458,22,"-A----,-AP---",45c48,c4ca4,12,1008,222.186.52.40,TCP,1
10.42.0.211-66.231.239.124-47702-443-6,61.131.218.218,69.175.54.106,1415140945,38653,22,"-A----,-AP---",45c48,c4ca4,12,1008,222.186.25.160,TCP,0
175.100.207.233-10.42.0.151-80-50832-6,220.181.168.156,69.175.54.106,1415752913,22,38645,"-A----,-AP---",45c48,c4ca4,6,504,61.147.103.88,TCP,1
10.42.0.211-113.200.98.174-54228-80-6,103.20.193.208,69.175.54.106,1415752913,38645,22,"-A----,-AP---",45c48,c4ca4,12,1008,199.193.71.18,TCP,0
172.217.12.136-10.42.0.211-443-41190-6,103.20.193.208,69.175.54.106,1415477473,48820,22,"-A----,-AP---",45c48,c4ca4,12,1008,60.173.26.57,TCP,1
10.42.0.42-123.125.29.138-52912-80-6,103.20.193.208,87.251.181.13,1415667642,33006,22,"-A----,-AP---",45c48,c4ca4,12,1008,118.244.144.194,TCP,0
10.42.0.211-77.234.44.42-55967-80-6,60.173.8.163,87.251.181.13,1415755004,22,32996,"-A----,-AP---",45c48,c4ca4,6,504,180.168.90.59,TCP,1
10.42.0.42-69.147.82.61-33336-443-6,198.20.69.98,96.254.171.2,1415668305,32991,22,"-A----,-AP---",45c48,c4ca4,12,1008,113.98.190.235,TCP,1
172.217.10.68-10.42.0.151-443-44822-6,218.22.29.218,96.254.171.2,1415410076,32972,22,"-A----,-AP---",45c48,c4ca4,12,1008,220.181.168.156,TCP,0
172.217.11.10-10.42.0.211-443-33109-6,119.191.59.224,96.254.171.2,1415753572,22,38623,"-A----,-AP---",45c48,c4ca4,6,504,189.78.99.192,TCP,1
10.42.0.211-77.234.44.41-33298-80-6,61.147.107.114,175.180.116.59,1415755440,22,38653,"-A----,-AP---",45c48,c4ca4,6,504,183.61.185.91,TCP,0
10.42.0.211-106.11.93.16-40198-443-6,71.119.185.210,222.89.164.247,1415753484,22,51756,"-A----,-AP---",45c48,c4ca4,6,504,222.186.13.25,UDP,0
172.217.11.10-10.42.0.211-443-57348-6,71.119.185.210,115.108.46.206,1415752913,51756,22,"-A----,-AP---",45c48,c4ca4,12,1008,203.171.227.105,UDP,1
202.77.129.161-10.42.0.42-80-49523-6,71.119.185.210,219.85.91.28,1415752912,22,51759,"-A----,-AP---",45c48,c4ca4,6,504,10.131.20.151,UDP,1
172.217.9.227-10.42.0.151-443-33532-6,71.119.185.210,219.85.91.28,1415581756,48886,22,"-A----,-AP---",45c48,c4ca4,12,1008,85.233.67.8,UDP,0
10.42.0.1-10.42.0.42-53-55620-17,71.119.185.210,219.85.91.28,1415748845,22,48820,"-A----,-AP---",45c48,c4ca4,6,504,85.233.67.8,UDP,1
10.42.0.151-10.42.0.1-8352-53-17,71.119.185.210,219.85.91.28,1415780330,22,42159,"-A----,-A---F,-A--S-,-AP---",c9f0f,c4ca4,21,3293,142.0.132.79,UDP,0
10.42.0.211-103.235.46.212-39083-443-6,128.9.160.82,219.85.91.28,1415771661,22,51819,"-A----,-AP---",c9f0f,c4ca4,5,420,198.20.69.98,ICMP,1
172.217.9.238-10.42.0.151-443-57510-6,128.9.160.82,123.232.103.198,1415780330,42159,22,"----S-,-A----,-A---F,-AP---",c9f0f,c4ca4,17,1838,183.221.219.55,ICMP,0
10.42.0.151-58.250.11.11-56760-80-6,71.119.185.210,123.232.103.198,1415780331,42169,22,"----S-,-A----,-A---F,-AP---",c9f0f,c4ca4,17,2212,183.221.219.55,UDP,1
172.217.12.205-10.42.0.151-443-56970-6,71.119.185.210,50.56.28.53,1415780331,22,42169,"-A----,-A---F,-A--S-,-AP---",c9f0f,c4ca4,22,3207,183.221.219.55,UDP,0
10.42.0.151-31.13.80.52-34938-80-6,219.219.1.23,50.56.28.53,1415743417,36616,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,202.107.244.229,TCP,0
10.42.0.211-10.42.0.1-57066-53-17,220.181.168.154,124.232.146.209,1415775968,22,55784,"-A----,-AP---",c9f0f,c4ca4,5,420,202.105.134.46,TCP,0
10.42.0.211-119.146.74.33-37696-443-6,219.219.1.23,108.62.109.246,1415777967,36800,22,"-A----,-AP---",c9f0f,c4ca4,11,956,61.147.103.79,TCP,0
10.42.0.211-10.42.0.1-53943-53-17,122.157.209.97,112.90.219.3,1415464752,55783,22,"-A----,-AP---",c9f0f,c4ca4,11,956,80.98.186.90,TCP,0
10.42.0.211-10.42.0.1-5431-53-17,46.165.196.2,112.90.219.3,1415764679,22,54597,-AP---,c9f0f,c4ca4,6,504,80.98.186.90,ICMP,1
10.42.0.151-10.42.0.1-48784-53-17,108.163.158.237,119.137.146.16,1415772634,22,38700,"-A----,-AP---",c9f0f,c4ca4,6,504,69.168.136.20,UDP,1
10.42.0.211-118.178.116.121-40828-9999-6,216.99.156.74,190.253.115.226,1415751375,22,44329,"-A----,-AP---",c9f0f,c4ca4,6,504,5.135.134.121,TCP,0
10.42.0.211-10.42.0.1-41467-53-17,78.129.149.17,222.49.127.158,1415706163,44329,22,"-A----,-AP---",c9f0f,c4ca4,11,892,61.131.218.218,TCP,0
10.42.0.211-54.192.37.254-46126-443-6,78.129.149.17,222.49.127.158,1415752297,22,36614,"-A----,-AP---",c9f0f,c4ca4,6,504,117.41.237.247,TCP,0
180.149.136.194-10.42.0.211-443-32924-6,61.158.162.97,222.49.127.158,1415504956,55784,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,192.80.188.243,TCP,1
10.42.0.211-119.146.74.49-38702-443-6,198.13.109.248,46.148.147.30,1415771978,22,51622,"-A----,-AP---",c9f0f,c4ca4,5,420,171.5.220.249,TCP,1
10.42.0.211-103.7.30.118-33206-80-6,119.74.49.112,46.148.147.30,1415772547,22,51619,"-A----,-AP---",c9f0f,c4ca4,6,504,171.5.220.249,TCP,1
10.42.0.151-23.9.107.127-55550-443-6,119.74.49.112,116.202.213.149,1415450819,37862,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,61.160.245.39,TCP,1
172.217.3.106-10.42.0.42-443-57864-6,119.74.49.112,116.202.213.149,1415769665,22,47022,"-A----,-AP---",c9f0f,c4ca4,6,504,204.45.2.107,TCP,1
174.35.73.77-10.42.0.211-443-33726-6,216.244.79.162,116.202.213.149,1415770696,22,51648,"-A----,-AP---",c9f0f,c4ca4,6,504,61.147.103.117,TCP,0
172.217.6.202-10.42.0.151-443-54423-6,23.31.116.19,177.64.10.84,1415771863,22,36816,"-A----,-AP---",c9f0f,c4ca4,5,420,24.133.70.178,UDP,1
10.42.0.211-52.84.29.154-52845-443-6,91.185.6.67,177.64.10.84,1415775788,22,65466,-AP---,c9f0f,c4ca4,6,504,24.133.70.178,TCP,0
172.217.6.193-10.42.0.151-443-52988-6,61.147.103.79,94.102.51.246,1415777989,22,51251,"-A----,-AP---",c9f0f,c4ca4,6,504,10.48.56.161,TCP,0
10.42.0.211-10.42.0.1-23565-53-17,61.154.116.149,112.216.88.28,1415745058,57916,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,188.244.179.227,TCP,0
10.42.0.211-23.194.108.102-48580-443-6,173.234.33.194,61.147.107.114,1415775960,22,51482,"-A----,-AP---",c9f0f,c4ca4,5,420,111.89.11.57,TCP,1
175.100.207.232-10.42.0.211-80-56379-6,173.234.33.194,115.239.229.226,1415453881,51480,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,111.89.11.57,TCP,0
172.217.10.42-10.42.0.42-443-49770-17,173.234.33.194,219.154.210.42,1415489491,51478,22,"-A----,-AP---",c9f0f,c4ca4,11,956,111.89.11.57,TCP,1
10.42.0.211-104.193.88.109-37715-80-6,216.244.79.162,219.154.210.42,1415772913,22,51254,"-A----,-AP---",c9f0f,c4ca4,6,504,111.89.11.57,TCP,0
10.42.0.211-52.84.139.187-39121-80-6,192.30.136.88,219.154.210.42,1415533950,51254,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,111.89.11.57,TCP,1
172.217.12.206-10.42.0.42-443-35767-6,69.175.126.170,113.11.194.210,1415772638,22,65392,-AP---,c9f0f,c4ca4,6,504,111.89.11.57,UDP,0
172.217.6.234-10.42.0.42-443-40006-6,61.147.103.188,61.131.218.218,1415718755,65466,22,"----S-,-A----,-AP---",c9f0f,c4ca4,12,1008,186.205.241.134,TCP,1
10.42.0.211-10.42.0.1-21895-53-17,37.9.53.44,192.74.237.114,1415656182,55761,22,"-A----,-AP---",c9f0f,c4ca4,12,944,186.205.241.134,TCP,1
192.229.173.173-10.42.0.211-80-36600-6,199.192.159.238,222.216.29.5,1415706148,51482,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,111.89.11.57,TCP,0
10.42.0.211-69.147.82.61-36528-443-6,60.173.26.57,117.220.61.226,1415718742,65449,22,"----S-,-A----,-AP---",c9f0f,c4ca4,10,776,111.89.11.57,TCP,1
10.42.0.151-10.42.0.1-10055-53-17,60.173.8.163,117.220.61.226,1415772732,22,51645,"-A----,-AP---",c9f0f,c4ca4,5,420,187.52.105.246,TCP,0
172.217.5.228-10.42.0.211-443-55219-6,59.125.216.52,122.157.209.97,1415776535,22,55792,"-A----,-AP---",c9f0f,c4ca4,6,504,210.51.184.108,TCP,0
10.42.0.211-54.192.38.18-39619-443-6,59.125.216.52,61.147.103.88,1415772160,22,55763,"-A----,-AP---",c9f0f,c4ca4,5,420,183.61.185.94,TCP,1
10.42.0.211-115.239.210.141-54901-80-6,59.125.216.52,78.140.143.57,1415661654,51238,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,183.61.185.94,TCP,1
180.163.251.231-10.42.0.211-80-38152-6,60.173.8.163,78.140.143.57,1415527231,34091,22,"----S-,-A----,-AP---",c9f0f,c4ca4,10,840,183.61.185.94,TCP,0
172.217.6.202-10.42.0.151-443-40289-6,60.173.8.163,202.85.214.186,1415777450,57908,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,183.61.185.94,TCP,1
10.42.0.151-10.42.0.1-20724-53-17,60.173.8.163,61.143.207.106,1415777438,22,44328,"-A----,-AP---",c9f0f,c4ca4,6,504,183.61.185.94,TCP,0
198.35.26.96-10.42.0.211-443-50400-6,60.173.8.163,122.54.155.32,1415497087,55775,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,183.61.185.94,TCP,1
10.42.0.42-52.24.219.132-56900-443-6,60.173.8.163,50.75.233.58,1415772671,22,55774,"-A----,-AP---",c9f0f,c4ca4,6,504,50.16.129.113,TCP,0
10.42.0.151-13.107.3.128-51794-443-6,108.171.184.98,50.75.233.58,1415453153,57902,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,50.16.129.113,TCP,1
172.217.7.131-10.42.0.211-443-59411-6,108.171.184.98,218.95.246.135,1415735321,57892,22,"-A----,-AP---",c9f0f,c4ca4,11,892,50.16.129.113,TCP,0
10.42.0.151-31.13.80.5-45628-443-6,115.238.169.110,37.9.53.47,1415452441,51483,22,"-A----,-AP---",c9f0f,c4ca4,12,944,50.16.129.113,TCP,0
10.42.0.211-10.42.0.1-3404-53-17,59.125.216.52,112.78.5.50,1415776788,22,62041,-AP---,c9f0f,c4ca4,5,420,183.61.185.94,TCP,0
10.42.0.151-10.42.0.1-26115-53-17,59.125.216.52,221.122.58.6,1415692839,36813,22,"----S-,-A----,-AP---",c9f0f,c4ca4,12,1008,183.61.185.94,TCP,0
180.163.255.159-10.42.0.42-443-58590-6,59.125.216.52,118.244.159.167,1415733435,55755,22,"-A----,-AP---",c9f0f,c4ca4,11,892,222.186.12.15,TCP,0
172.217.12.174-10.42.0.151-80-38127-6,61.142.106.34,222.186.45.157,1415474611,55753,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,121.11.76.45,TCP,1
10.42.0.211-10.42.0.1-5494-53-17,117.40.188.58,97.76.5.146,1415451085,51249,22,"-A----,-AP---",c9f0f,c4ca4,10,840,183.61.185.94,TCP,1
10.42.0.211-63.250.200.101-58566-443-6,223.207.134.34,97.76.5.146,1415609992,61123,22,"----S-,-A----,-AP---",c9f0f,c4ca4,12,1008,42.96.157.123,UDP,0
183.79.249.252-10.42.0.211-443-37087-6,124.234.8.166,134.255.243.122,1415769690,22,59744,-AP---,c9f0f,c4ca4,5,420,174.139.87.195,TCP,0
10.42.0.211-64.71.142.125-56859-443-6,175.110.149.121,69.28.58.85,1415718682,65372,22,"----S-,-A----,-AP---",c9f0f,c4ca4,12,944,187.94.62.250,TCP,0
172.217.12.174-10.42.0.151-443-58171-6,108.171.255.19,69.175.126.170,1415692811,36726,22,"-A----,-AP---",c9f0f,c4ca4,11,828,187.94.62.250,TCP,1
10.42.0.211-106.11.95.4-36889-443-6,117.40.188.58,220.181.168.154,1415764267,22,51626,"-A----,-AP---",c9f0f,c4ca4,2,168,187.115.66.17,TCP,1
10.42.0.151-52.54.192.155-48193-443-6,42.96.151.105,122.52.157.22,1415780331,42173,22,"----S-,-A----,-A---F,-AP---",c9f0f,c4ca4,19,2542,187.115.66.17,TCP,1
180.76.168.195-10.42.0.211-80-45734-6,94.53.93.194,122.52.157.22,1415780330,42162,22,"----S-,-A----,-A---F,-AP---",c9f0f,c4ca4,18,2248,184.107.231.66,TCP,1
182.22.67.91-10.42.0.151-443-45277-6,125.41.213.42,124.232.146.209,1415780330,22,34542,"-A----,-A--S-,-AP---",c9f0f,c4ca4,4,1077,203.144.170.98,TCP,1
192.229.173.173-10.42.0.211-443-46187-6,219.219.1.23,218.8.245.179,1415780331,22,42173,"-A----,-A---F,-A--S-,-AP---",c9f0f,c4ca4,22,3207,218.202.173.195,TCP,0
172.217.12.174-10.42.0.151-443-35026-6,61.131.218.218,101.36.80.117,1415780330,34542,22,"----S-,-A----,-A---F,-AP---",c9f0f,c4ca4,5,293,202.85.214.186,TCP,1
10.42.0.151-23.208.31.187-37950-80-6,192.210.51.94,175.169.235.253,1415780330,22,42162,"-A----,-A---F,-A--S-,-AP---",c9f0f,c4ca4,21,2251,198.13.109.248,TCP,0
172.217.12.142-10.42.0.211-443-57924-6,37.9.53.2,175.169.235.253,1415766077,22,62409,"-A----,-AP---",c9f0f,c4ca4,6,504,204.45.2.106,TCP,0
151.101.117.140-10.42.0.211-443-45536-6,1.26.121.59,175.169.235.253,1415451160,48844,22,"-A----,-AP---",c9f0f,c4ca4,11,956,200.111.191.59,TCP,0
10.42.0.151-10.42.0.1-12100-53-17,219.219.1.23,175.169.235.253,1415772907,22,51625,"-A----,-AP---",c9f0f,c4ca4,5,420,222.73.167.144,TCP,1
172.217.12.174-10.42.0.42-443-35399-17,69.175.126.170,112.90.219.3,1415474670,55727,22,"-A----,-AP---",c9f0f,c4ca4,11,892,50.22.40.139,TCP,0
10.42.0.211-66.102.255.44-43108-443-6,69.175.126.170,171.226.33.212,1415595810,50605,22,"-A----,-AP---",c9f0f,c4ca4,11,892,198.20.70.114,TCP,1
174.129.31.175-10.42.0.211-443-41085-6,85.18.108.253,171.226.33.212,1415762822,22,50559,"-A----,-AP---",c9f0f,c4ca4,5,420,189.123.66.237,TCP,0
172.217.10.106-10.42.0.151-443-55160-6,85.18.108.253,37.9.53.44,1415720974,59464,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,189.123.66.237,TCP,1
10.42.0.211-10.42.0.1-5867-53-17,50.81.126.231,14.134.132.245,1415686825,62409,22,"----S-,-A----,-AP---",c9f0f,c4ca4,12,1008,60.173.14.75,TCP,0
10.42.0.151-103.7.30.118-43698-80-6,50.81.126.231,14.134.132.245,1415771070,22,36722,"-A----,-AP---",c9f0f,c4ca4,6,504,192.154.110.111,TCP,1
192.229.163.180-10.42.0.42-443-50180-6,222.240.205.234,42.96.156.30,1415775796,22,38670,"-A----,-AP---",c9f0f,c4ca4,6,504,60.251.178.220,TCP,1
10.42.0.1-10.42.0.42-53-40542-17,198.13.96.60,96.254.171.2,1415478605,38675,22,"-A----,-AP---",c9f0f,c4ca4,11,956,195.23.82.216,TCP,0
10.42.0.211-123.125.29.220-46800-80-6,96.254.171.2,96.254.171.2,1415772853,22,55782,"-A----,-AP---",c9f0f,c4ca4,6,504,195.23.82.216,TCP,1
172.217.11.42-10.42.0.151-443-41984-6,96.254.171.2,67.32.167.235,1415777037,22,36796,"-A----,-AP---",c9f0f,c4ca4,6,504,222.186.52.64,TCP,0
172.217.10.36-10.42.0.211-443-51644-6,198.13.96.60,124.232.146.209,1415768831,22,37874,"-A----,-AP---",c9f0f,c4ca4,6,504,195.23.82.216,TCP,0
182.22.31.124-10.42.0.42-80-55386-6,62.219.148.33,117.3.65.34,1415777329,22,48833,"-A----,-AP---",c9f0f,c4ca4,6,504,195.23.82.216,TCP,1
10.42.0.211-106.11.92.1-48572-443-6,62.219.148.33,117.3.65.34,1415450651,51625,22,"-A----,-AP---",c9f0f,c4ca4,10,840,118.122.188.242,TCP,1
10.42.0.42-62.138.0.117-47786-80-6,62.219.148.33,211.141.239.229,1415475221,51624,22,"-A----,-AP---",c9f0f,c4ca4,11,956,96.254.171.2,TCP,0
10.42.0.211-10.42.0.1-4499-53-17,62.219.148.33,211.141.239.229,1415385649,51258,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,96.254.171.2,TCP,1
10.42.0.211-113.108.216.233-47394-80-6,116.48.133.51,171.25.175.21,1415718731,65430,22,"----S-,-A----,-AP---",c9f0f,c4ca4,12,1008,146.249.225.18,TCP,0
10.42.0.211-10.42.0.1-24107-53-17,62.219.148.33,171.25.175.21,1415750193,22,51241,"-A----,-AP---",c9f0f,c4ca4,6,504,146.249.225.18,TCP,1
10.42.0.151-115.239.210.141-40863-443-6,62.219.148.33,98.143.36.192,1415620200,57919,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,146.249.225.18,TCP,0
8.0.6.4-8.6.0.1-0-0-0,62.219.148.33,171.25.175.21,1415451213,57896,22,"-A----,-AP---",c9f0f,c4ca4,11,892,146.249.225.18,TCP,1
10.42.0.211-66.231.239.122-48515-80-6,62.219.148.33,171.25.175.21,1415762763,22,57884,"-A----,-AP---",c9f0f,c4ca4,5,420,222.186.52.40,TCP,0
10.42.0.211-107.21.247.249-54890-443-6,62.219.148.33,199.241.146.225,1415776403,22,51258,"-A----,-AP---",c9f0f,c4ca4,6,504,61.150.109.245,TCP,0
203.205.158.60-10.42.0.151-80-39769-6,62.219.148.33,199.241.146.225,1415538065,56996,22,"-A----,-AP---",c9f0f,c4ca4,10,840,61.131.218.218,TCP,0
10.42.0.211-87.240.165.80-59590-80-6,62.219.148.33,212.222.145.119,1415755832,22,56994,"-A----,-AP---",c9f0f,c4ca4,6,504,216.99.156.74,TCP,0
172.217.3.110-10.42.0.151-443-44081-17,62.219.148.33,212.222.145.119,1415450268,56994,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,66.249.73.236,TCP,0
172.217.10.238-10.42.0.211-443-41742-6,67.32.167.235,96.254.171.2,1415427565,55776,22,"-A----,-AP---",c9f0f,c4ca4,11,956,66.249.73.236,TCP,1
10.42.0.211-52.26.183.201-37036-443-6,60.191.170.188,61.131.218.218,1415771590,22,55772,"-A----,-AP---",c9f0f,c4ca4,6,504,66.249.73.236,TCP,1
10.42.0.211-10.42.0.1-32978-53-17,91.185.6.67,220.178.26.158,1415454312,55747,22,"-A----,-AP---",c9f0f,c4ca4,11,892,61.130.70.38,TCP,0
180.163.255.159-10.42.0.151-80-56056-6,118.244.155.83,12.144.49.15,1415464173,55745,22,"-A----,-AP---",c9f0f,c4ca4,10,840,118.26.200.174,TCP,0
10.42.0.1-10.42.0.42-53-16013-17,91.185.6.67,188.128.123.4,1415452173,57910,22,"-A----,-AP---",c9f0f,c4ca4,11,956,174.138.175.178,TCP,0
10.42.0.211-10.42.0.1-2364-53-17,91.185.6.67,188.128.123.4,1415483371,57907,22,"-A----,-AP---",c9f0f,c4ca4,10,840,192.210.54.220,TCP,1
172.217.10.65-10.42.0.151-443-41093-6,91.185.6.67,164.124.107.66,1415773651,22,51485,"-A----,-AP---",c9f0f,c4ca4,6,504,60.173.26.57,TCP,1
10.42.0.151-104.254.66.16-49948-80-6,91.185.6.67,37.9.53.2,1415503232,51476,22,"-A----,-AP---",c9f0f,c4ca4,11,956,117.41.237.247,TCP,1
10.42.0.1-10.42.0.42-53-11167-17,91.185.6.67,38.122.64.26,1415771785,22,36470,"-A----,-AP---",c9f0f,c4ca4,6,504,117.41.237.247,TCP,1
172.217.12.129-10.42.0.211-443-33622-6,14.219.12.147,101.108.211.174,1415483382,38707,22,"-A----,-AP---",c9f0f,c4ca4,12,1008,117.41.237.247,ICMP,1
172.217.7.196-10.42.0.42-443-41361-6,14.219.12.147,101.108.211.174,1415512982,38663,22,"-A----,-AP---",c9f0f,c4ca4,11,892,117.41.237.247,ICMP,0
10.42.0.211-66.231.239.96-40435-443-6,96.254.171.2,196.218.171.118,1415776355,22,54031,"-A----,-AP---",c9f0f,c4ca4,6,504,117.41.237.247,TCP,1
10.42.0.151-10.42.0.1-64664-53-17,96.254.171.2,196.218.171.118,1415533810,54031,22,"-A----,-AP---",c9f0f,c4ca4,11,956,117.41.237.247,TCP,0
10.42.0.211-10.42.0.1-17083-53-17,112.175.69.69,10.48.56.161,1415450395,55780,22,"-A----,-AP---",c9f0f,c4ca4,11,956,58.51.40.172,TCP,0
10.42.0.211-98.139.183.24-50061-443-6,194.165.145.211,120.209.173.178,1415776908,22,61125,"-A----,-AP---",c9f0f,c4ca4,5,420,181.164.176.162,TCP,0
